--- STARTING NEW MCTS-SMART SESSION ---

========================================
MOVE 2 | Playout: SMART | Sims: 177
========================================
ROOT | Wins: 107.5 | Visits: 177 | 60.7%
  Col 1 | Wins: 10.0 | Visits: 20 | 50.0%
    Col 0 | Wins: 2.0 | Visits: 3 | 66.7%
      Col 3 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 2 | Wins: 2.0 | Visits: 3 | 66.7%
      Col 1 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 1 | Wins: 4.0 | Visits: 4 | 100.0%
      Col 3 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 6 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 0 | Wins: 1.0 | Visits: 1 | 100.0%
    Col 6 | Wins: 0.0 | Visits: 2 | 0.0%
      Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 5 | Wins: 0.0 | Visits: 2 | 0.0%
      Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 3 | Wins: 1.0 | Visits: 3 | 33.3%
      Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 4 | Wins: 1.0 | Visits: 2 | 50.0%
      Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
  Col 0 | Wins: 20.0 | Visits: 30 | 66.7%
    Col 4 | Wins: 5.0 | Visits: 6 | 83.3%
      Col 4 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 3 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 6 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 5 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 6 | Wins: 5.0 | Visits: 6 | 83.3%
      Col 6 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 4 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 0 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 3 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 5 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 3 | Wins: 3.0 | Visits: 4 | 75.0%
      Col 3 | Wins: 1.0 | Visits: 1 | 100.0%
