When C = 2
--- STARTING NEW MCTS-SMART SESSION ---

========================================
MOVE 2 | Playout: SMART | Sims: 187
========================================
ROOT | Wins: 107.0 | Visits: 187 | 57.2%
  Col 0 | Wins: 15.0 | Visits: 27 | 55.6%
    Col 3 | Wins: 0.0 | Visits: 2 | 0.0%
      Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 0 | Wins: 4.0 | Visits: 5 | 80.0%
      Col 2 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 3 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 4 | Wins: 1.0 | Visits: 1 | 100.0%
    Col 5 | Wins: 1.0 | Visits: 3 | 33.3%
      Col 5 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 2 | Wins: 3.0 | Visits: 5 | 60.0%
      Col 0 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 4 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 6 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 1 | Wins: 3.0 | Visits: 4 | 75.0%
      Col 0 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 3 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 5 | Wins: 1.0 | Visits: 1 | 100.0%
    Col 4 | Wins: 1.0 | Visits: 3 | 33.3%
      Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 6 | Wins: 2.0 | Visits: 4 | 50.0%
      Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 2 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
  Col 2 | Wins: 18.0 | Visits: 29 | 62.1%
    Col 3 | Wins: 4.0 | Visits: 5 | 80.0%
      Col 4 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 3 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 5 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 6 | Wins: 1.0 | Visits: 1 | 100.0%
    Col 1 | Wins: 1.0 | Visits: 3 | 33.3%
      Col 5 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 3 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 5 | Wins: 3.0 | Visits: 5 | 60.0%
      Col 0 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 4 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 5 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 0 | Wins: 2.0 | Visits: 4 | 50.0%
      Col 3 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 0 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 6 | Wins: 0.0 | Visits: 1 | 0.0%
    Col 2 | Wins: 3.0 | Visits: 4 | 75.0%
      Col 4 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 1 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 3 | Wins: 1.0 | Visits: 1 | 100.0%
    Col 6 | Wins: 3.0 | Visits: 4 | 75.0%
      Col 5 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 2 | Wins: 0.0 | Visits: 1 | 0.0%
      Col 1 | Wins: 1.0 | Visits: 1 | 100.0%
    Col 4 | Wins: 1.0 | Visits: 3 | 33.3%
      Col 6 | Wins: 1.0 | Visits: 1 | 100.0%
      Col 4 | Wins: 0.0 | Visits: 1 | 0.0%
  Col 3 | Wins: 8.5 | Visits: 20 | 42.5%
